aspects,scores,id
polkadot,0.0,1049
bitcoin,0.0,1049
bitcoin,0.10416666666666667,1108
bitcoin,0.0,1108
bitcoin,0.0,1108
bitcoin,0.0,1108
bitcoin,0.6,1108
bitcoin,0.0,1026
bitcoin,-0.27499999999999997,1077
bitcoin,-0.0018518518518518638,1077
bitcoin,0.19642857142857142,1077
bitcoin,0.4,1055
bitcoin,0.008779761904761905,1055
bitcoin,-0.09999999999999992,1055
bitcoin,0.0,1055
bitcoin,0.33333333333333337,1055
bitcoin,0.03333333333333333,1055
bitcoin,0.09696969696969698,1055
bitcoin,0.13333333333333333,1055
bitcoin,0.19999999999999998,1055
chainlink,0.0,1049
